time,node,event,source,destination,msgID
0.519585,1,SEND_MSG,1,0,1
0.914476,1,SEND_MSG,1,0,2
1.100609,1,SEND_MSG,1,0,3
1.435272,1,SEND_MSG,1,0,4
1.519585,0,RECV_MSG,1,0,1
1.548706,0,MSG_DEPT,1,0,1
1.789729,1,SEND_MSG,1,0,5
1.803915,1,SEND_MSG,1,0,6
1.914476,0,RECV_MSG,1,0,2
1.987832,1,SEND_MSG,1,0,7
2.039597,0,MSG_DEPT,1,0,2
2.100609,0,RECV_MSG,1,0,3
2.24186,0,MSG_DEPT,1,0,3
2.385988,1,SEND_MSG,1,0,8
2.435272,0,RECV_MSG,1,0,4
2.462661,1,SEND_MSG,1,0,9
2.591802,0,MSG_DEPT,1,0,4
2.759719,1,SEND_MSG,1,0,10
2.789729,0,RECV_MSG,1,0,5
2.803915,0,RECV_MSG,1,0,6
2.947484,1,SEND_MSG,1,0,11
2.987832,0,RECV_MSG,1,0,7
3.149145,0,MSG_DEPT,1,0,5
3.305605,0,MSG_DEPT,1,0,6
3.343557,1,SEND_MSG,1,0,12
3.385988,0,RECV_MSG,1,0,8
3.443025,1,SEND_MSG,1,0,13
3.462661,0,RECV_MSG,1,0,9
3.541391,0,MSG_DEPT,1,0,7
3.55302,1,SEND_MSG,1,0,14
3.646049,1,SEND_MSG,1,0,15
3.759719,0,RECV_MSG,1,0,10
3.8066,1,SEND_MSG,1,0,16
3.922051,0,MSG_DEPT,1,0,8
3.947484,0,RECV_MSG,1,0,11
4.164317,1,SEND_MSG,1,0,17
4.165436,1,SEND_MSG,1,0,18
4.18189,1,SEND_MSG,1,0,19
4.218036,1,SEND_MSG,1,0,20
4.26041,1,SEND_MSG,1,0,21
4.272811,0,MSG_DEPT,1,0,9
4.316848,0,MSG_DEPT,1,0,10
4.321106,0,MSG_DEPT,1,0,11
4.343557,0,RECV_MSG,1,0,12
4.362671,0,MSG_DEPT,1,0,12
4.371189,1,SEND_MSG,1,0,22
4.386223,1,SEND_MSG,1,0,23
4.443025,0,RECV_MSG,1,0,13
4.55302,0,RECV_MSG,1,0,14
4.591606,1,SEND_MSG,1,0,24
4.646049,0,RECV_MSG,1,0,15
4.795441,1,SEND_MSG,1,0,25
4.8066,0,RECV_MSG,1,0,16
4.965091,0,MSG_DEPT,1,0,13
5.038839,1,SEND_MSG,1,0,26
5.164317,0,RECV_MSG,1,0,17
5.165436,0,RECV_MSG,1,0,18
5.18189,0,RECV_MSG,1,0,19
5.218036,0,RECV_MSG,1,0,20
5.246885,0,MSG_DEPT,1,0,14
5.26041,0,RECV_MSG,1,0,21
5.371189,0,RECV_MSG,1,0,22
5.379364,0,MSG_DEPT,1,0,15
5.386223,0,RECV_MSG,1,0,23
5.42417,0,MSG_DEPT,1,0,16
5.45663,1,SEND_MSG,1,0,27
5.464555,1,SEND_MSG,1,0,28
5.522776,1,SEND_MSG,1,0,29
5.556327,1,SEND_MSG,1,0,30
5.567673,1,SEND_MSG,1,0,31
5.571917,0,MSG_DEPT,1,0,17
5.591606,0,RECV_MSG,1,0,24
5.681112,1,SEND_MSG,1,0,32
5.795441,0,RECV_MSG,1,0,25
5.860221,1,SEND_MSG,1,0,33
5.864774,1,SEND_MSG,1,0,34
5.934691,0,MSG_DEPT,1,0,21
5.992512,1,SEND_MSG,1,0,35
6.03261,1,SEND_MSG,1,0,36
6.038839,0,RECV_MSG,1,0,26
6.042722,0,MSG_DEPT,1,0,23
6.085643,1,SEND_MSG,1,0,37
6.172068,1,SEND_MSG,1,0,38
6.328674,0,MSG_DEPT,1,0,24
6.340306,1,SEND_MSG,1,0,39
6.371705,0,MSG_DEPT,1,0,25
6.45663,0,RECV_MSG,1,0,27
6.464555,0,RECV_MSG,1,0,28
6.474117,1,SEND_MSG,1,0,40
6.522776,0,RECV_MSG,1,0,29
6.556327,0,RECV_MSG,1,0,30
6.567673,0,RECV_MSG,1,0,31
6.595111,1,SEND_MSG,1,0,41
6.616854,0,MSG_DEPT,1,0,26
6.642103,0,MSG_DEPT,1,0,27
6.657278,0,MSG_DEPT,1,0,28
6.673553,0,MSG_DEPT,1,0,29
6.679094,1,SEND_MSG,1,0,42
6.681112,0,RECV_MSG,1,0,32
6.712496,0,MSG_DEPT,1,0,32
6.740493,1,SEND_MSG,1,0,43
6.860221,0,RECV_MSG,1,0,33
