scenario,lambda,mu,servers,capacity,replications,avg_n_system_mean,avg_n_system_ci_low,avg_n_system_ci_high,avg_n_system_ci_half,avg_n_queue_mean,avg_n_queue_ci_low,avg_n_queue_ci_high,avg_n_queue_ci_half,avg_wait_queue_mean,avg_wait_queue_ci_low,avg_wait_queue_ci_high,avg_wait_queue_ci_half,avg_response_time_mean,avg_response_time_ci_low,avg_response_time_ci_high,avg_response_time_ci_half,throughput_mean,throughput_ci_low,throughput_ci_high,throughput_ci_half,utilization_mean,utilization_ci_low,utilization_ci_high,utilization_ci_half,drop_probability_mean,drop_probability_ci_low,drop_probability_ci_high,drop_probability_ci_half
MM1,4.0,8.0,1,-1,10,1.0063054911209555,0.9895273830630131,1.0230835991788978,0.01677810805794233,0.5045116116606854,0.490446683275802,0.5185765400455687,0.014064928384883407,0.12579659991525477,0.12254838506357713,0.12904481476693241,0.0032482148516776443,1.2509192313268882,1.2472267485179585,1.254611714135818,0.003692482808929732,4.010488888888888,3.9901170271791915,4.030860750598585,0.020371861709696844,0.5017938794602701,0.4984419879827093,0.505145770937831,0.0033518914775608226,0.0,0.0,0.0,0.0
MM1,6.0,8.0,1,-1,10,3.0475410397422955,2.9528228895705966,3.1422591899139944,0.09471815017169914,2.297430042384659,2.2053058139726183,2.3895542707967,0.09212422841204085,0.3839850496138665,0.36985961332488215,0.3981104859028508,0.0141254362889843,1.5093751461773945,1.4952187205016456,1.5235315718531435,0.014156425675748891,5.982111111111111,5.957721185500748,6.006501036721474,0.024389925610362417,0.7501109973576554,0.7466118607537666,0.7536101339615442,0.003499136603888815,0.0,0.0,0.0,0.0
MM1,8.0,8.0,1,-1,10,143.03711742170606,91.61697753337648,194.45725731003563,51.42013988832957,142.04207281272167,90.62375292551921,193.4603926999241,51.41831988720246,17.76083529001533,11.379823004344917,24.14184757568574,6.381012285670412,18.885694257691164,12.504350542187687,25.26703797319464,6.381343715503476,7.969422222222223,7.94353977503142,7.995304669413025,0.025882447190802644,0.9950446089840493,0.9919582778126149,0.9981309401554838,0.0030863311714343805,0.0,0.0,0.0,0.0
MM1,12.0,8.0,1,-1,10,10959.505719163728,10817.632036329638,11101.379401997818,141.8736828340889,10958.505719163757,10816.632036329665,11100.379401997849,141.8736828340913,913.9330384909072,903.6513627196045,924.2147142622098,10.281675771302561,915.0583385079059,904.7762904683335,925.3403865474783,10.282048039572325,7.981022222222222,7.945711368695828,8.016333075748616,0.03531085352639415,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MM1K4,4.0,8.0,1,4,10,0.8320102973068156,0.8246079930352912,0.8394126015783401,0.007402304271524485,0.3499038590090434,0.3441150773104256,0.3556926407076612,0.00578878169861779,0.09076401587662469,0.08927891354019728,0.09224911821305211,0.0014851023364274125,1.2158408077922163,1.2139349059388111,1.2177467096456214,0.0019059018534050573,3.854577777777778,3.8419486674963395,3.8672068880592168,0.01262911028143869,0.4821064382977722,0.4799743702727058,0.48423850632283866,0.002132068025066439,0.031031823619068654,0.029553255672220776,0.03251039156591653,0.0014785679468478777
MM1K4,6.0,8.0,1,4,10,1.438581747906964,1.4297538062188182,1.4474096895951098,0.008827941688145897,0.7681876078797668,0.7614485110894524,0.7749267046700812,0.006739096790314402,0.14303292779986984,0.1420212213919092,0.14404463420783048,0.001011706407960648,1.2678533996043693,1.2666382996559236,1.269068499552815,0.0012150999484457584,5.370977777777778,5.35069189925529,5.391263656300266,0.020285878522487928,0.670394140027196,0.6677544014724383,0.6730338785819537,0.00263973855475776,0.10363498655127099,0.1018189724714541,0.10545100063108787,0.001816014079816874
MM1K4,8.0,8.0,1,4,10,2.002013922532771,1.991314716447918,2.012713128617624,0.010699206084852865,1.2007881786313777,1.1920138132777596,1.2095625439849957,0.008774365353618058,0.18762784743112193,0.18600106600410243,0.18925462885814143,0.0016267814270194915,1.3128209391531585,1.3106963960689884,1.3149454822373285,0.0021245430841699835,6.399977777777778,6.3815851761293025,6.418370379426253,0.018392601648475608,0.8012257439013986,0.7990141198103169,0.8034373679924802,0.002211624091081625,0.20018209595807335,0.19780905954033637,0.20255513237581033,0.002373036417736977
MM1K4,12.0,8.0,1,4,10,2.7640573440756575,2.753862203766419,2.774252484384896,0.010195140309238416,1.8387932049135944,1.8295518544743303,1.8480345553528585,0.00924135043926419,0.24826849762387812,0.24670168036873408,0.24983531487902216,0.001566817255144036,1.373196347984866,1.3712993415009596,1.3750933544687722,0.0018970064839063203,7.4064000000000005,7.388011772069402,7.424788227930599,0.018388227930598765,0.925264139162055,0.9241747394536425,0.9263535388704675,0.0010893997084124567,0.38489802936099,0.3824636294064811,0.3873324293154989,0.0024343999545088754
MM1K8,4.0,8.0,1,8,10,0.9861175968826446,0.9744261247052373,0.9978090690600518,0.01169147217740726,0.48739142769214705,0.4779564273547136,0.4968264280295805,0.009435000337433466,0.12230088193958924,0.11974350529549155,0.12485825858368693,0.002557376644097698,1.2474556379901325,1.2442012625388448,1.2507100134414202,0.003254375451287613,3.9849555555555556,3.962284471559449,4.007626639551662,0.022671083996106515,0.4987261691904975,0.4954926098751936,0.5019597285058014,0.0032335593153038993,0.0020596204177411293,0.0016665433588278317,0.002452697476654427,0.0003930770589132976
MM1K8,6.0,8.0,1,8,10,2.290271692226573,2.245045577858113,2.335497806595033,0.045226114368459865,1.5579140141465897,1.5171049123926696,1.5987231159005098,0.04080910175391996,0.26604355016697945,0.25967675074191354,0.27241034959204535,0.006366799425065916,1.3911164333092205,1.384283781008457,1.397949085609984,0.006832652300763526,5.855377777777778,5.832217647869019,5.878537907686537,0.023160129908759583,0.7323576780799874,0.7273488550280938,0.7373665011318811,0.0050088230518936525,0.02779863743034957,0.025972120846828744,0.029625154013870395,0.0018265165835208246
