time,node,event,source,destination,msgID
0.097281,1,SEND_MSG,1,0,1
0.214648,1,SEND_MSG,1,0,2
0.287708,1,SEND_MSG,1,0,3
0.580928,1,SEND_MSG,1,0,4
1.009586,1,SEND_MSG,1,0,5
1.097281,0,RECV_MSG,1,0,1
1.126477,0,MSG_DEPT,1,0,1
1.214648,0,RECV_MSG,1,0,2
1.228478,1,SEND_MSG,1,0,6
1.283941,1,SEND_MSG,1,0,7
1.287708,0,RECV_MSG,1,0,3
1.330602,1,SEND_MSG,1,0,8
1.382078,0,MSG_DEPT,1,0,2
1.415051,1,SEND_MSG,1,0,9
1.442078,1,SEND_MSG,1,0,10
1.498315,1,SEND_MSG,1,0,11
1.537635,1,SEND_MSG,1,0,12
1.574537,1,SEND_MSG,1,0,13
1.579922,0,MSG_DEPT,1,0,3
1.580928,0,RECV_MSG,1,0,4
1.611621,0,MSG_DEPT,1,0,4
1.760905,1,SEND_MSG,1,0,14
1.796744,1,SEND_MSG,1,0,15
1.969581,1,SEND_MSG,1,0,16
2.009586,0,RECV_MSG,1,0,5
2.115002,0,MSG_DEPT,1,0,5
2.228478,0,RECV_MSG,1,0,6
2.245438,1,SEND_MSG,1,0,17
2.255933,0,MSG_DEPT,1,0,6
2.274821,1,SEND_MSG,1,0,18
2.283941,0,RECV_MSG,1,0,7
2.330602,0,RECV_MSG,1,0,8
2.415051,0,RECV_MSG,1,0,9
2.440292,0,MSG_DEPT,1,0,7
2.442078,0,RECV_MSG,1,0,10
2.492939,0,MSG_DEPT,1,0,8
2.498315,0,RECV_MSG,1,0,11
2.537635,0,RECV_MSG,1,0,12
2.555815,0,MSG_DEPT,1,0,9
2.574537,0,RECV_MSG,1,0,13
2.621234,1,SEND_MSG,1,0,19
2.669339,0,MSG_DEPT,1,0,10
2.733886,0,MSG_DEPT,1,0,11
2.760905,0,RECV_MSG,1,0,14
2.796744,0,RECV_MSG,1,0,15
2.860566,0,MSG_DEPT,1,0,12
2.879545,0,MSG_DEPT,1,0,13
2.914326,1,SEND_MSG,1,0,20
2.969581,0,RECV_MSG,1,0,16
3.068558,1,SEND_MSG,1,0,21
3.115727,1,SEND_MSG,1,0,22
3.122366,1,SEND_MSG,1,0,23
