time,node,event,source,destination,msgID
0.215668,1,SEND_MSG,1,0,1
0.368709,1,SEND_MSG,1,0,2
0.380449,1,SEND_MSG,1,0,3
0.519139,1,SEND_MSG,1,0,4
0.710334,1,SEND_MSG,1,0,5
0.850249,1,SEND_MSG,1,0,6
0.86663,1,SEND_MSG,1,0,7
1.188202,1,SEND_MSG,1,0,8
1.215668,0,RECV_MSG,1,0,1
1.291291,0,MSG_DEPT,1,0,1
1.322538,1,SEND_MSG,1,0,9
1.368709,0,RECV_MSG,1,0,2
1.380449,0,RECV_MSG,1,0,3
1.515373,0,MSG_DEPT,1,0,2
1.519139,0,RECV_MSG,1,0,4
1.710334,0,RECV_MSG,1,0,5
1.712949,0,MSG_DEPT,1,0,3
1.739119,0,MSG_DEPT,1,0,4
1.850249,0,RECV_MSG,1,0,6
1.86663,0,RECV_MSG,1,0,7
1.870038,1,SEND_MSG,1,0,10
1.943464,0,MSG_DEPT,1,0,5
2.09252,1,SEND_MSG,1,0,11
2.188202,0,RECV_MSG,1,0,8
2.322538,0,RECV_MSG,1,0,9
2.574287,0,MSG_DEPT,1,0,6
2.637124,0,MSG_DEPT,1,0,7
2.718557,1,SEND_MSG,1,0,12
2.74098,0,MSG_DEPT,1,0,8
2.870038,0,RECV_MSG,1,0,10
2.883929,0,MSG_DEPT,1,0,9
2.906272,0,MSG_DEPT,1,0,10
3.09252,0,RECV_MSG,1,0,11
3.113888,0,MSG_DEPT,1,0,11
3.253059,1,SEND_MSG,1,0,13
3.555312,1,SEND_MSG,1,0,14
3.612336,1,SEND_MSG,1,0,15
3.718557,0,RECV_MSG,1,0,12
3.791298,1,SEND_MSG,1,0,16
3.910078,0,MSG_DEPT,1,0,12
4.202988,1,SEND_MSG,1,0,17
4.253059,0,RECV_MSG,1,0,13
4.309455,0,MSG_DEPT,1,0,13
4.383413,1,SEND_MSG,1,0,18
4.555312,0,RECV_MSG,1,0,14
4.612336,0,RECV_MSG,1,0,15
4.622318,0,MSG_DEPT,1,0,14
4.703686,0,MSG_DEPT,1,0,15
4.791298,0,RECV_MSG,1,0,16
4.892202,1,SEND_MSG,1,0,19
4.936421,1,SEND_MSG,1,0,20
5.076183,0,MSG_DEPT,1,0,16
5.193434,1,SEND_MSG,1,0,21
5.202988,0,RECV_MSG,1,0,17
5.288059,0,MSG_DEPT,1,0,17
5.383413,0,RECV_MSG,1,0,18
5.624614,0,MSG_DEPT,1,0,18
5.627786,1,SEND_MSG,1,0,22
5.892202,0,RECV_MSG,1,0,19
5.905906,0,MSG_DEPT,1,0,19
5.936421,0,RECV_MSG,1,0,20
5.958052,0,MSG_DEPT,1,0,20
6.181484,1,SEND_MSG,1,0,23
6.193434,0,RECV_MSG,1,0,21
6.222017,0,MSG_DEPT,1,0,21
6.61797,1,SEND_MSG,1,0,24
6.627786,0,RECV_MSG,1,0,22
6.67673,1,SEND_MSG,1,0,25
6.679327,0,MSG_DEPT,1,0,22
7.068549,1,SEND_MSG,1,0,26
7.181484,0,RECV_MSG,1,0,23
7.288677,0,MSG_DEPT,1,0,23
7.610722,1,SEND_MSG,1,0,27
7.61797,0,RECV_MSG,1,0,24
7.675294,0,MSG_DEPT,1,0,24
